"index","id","price","host_response_rate","neighbourhood_cleansed","review_scores_rating","cancellation_policy","property_type","bedrooms"
"290","7723492","75","1","Jamaica Plain","94","strict","Apartment","1"
"291","1956275","168","1","Jamaica Plain","88","strict","Apartment","3"
"292","1136972","60","1","Jamaica Plain","96","flexible","Apartment","1"
"293","1071235","135","1","Jamaica Plain","94","strict","Apartment","1"
"294","4233242","119","1","Jamaica Plain","97","moderate","Bed & Breakfast","1"
"296","3905508","130","1","Jamaica Plain","99","flexible","House","1"
"297","1628130","750","1","Jamaica Plain","100","flexible","House","4"
"299","9590679","65","1","Jamaica Plain","100","moderate","Condominium","1"
"300","14469677","77","1","Jamaica Plain","100","moderate","House","1"
"301","447826","71","1","Jamaica Plain","96","moderate","House","1"
"302","12736777","200",NULL,"Jamaica Plain","100","flexible","Townhouse","1"
"303","9459945","55","1","Jamaica Plain","100","moderate","Apartment","1"
"305","2365632","220","0.93","Jamaica Plain","94","strict","Apartment","2"
"307","14308511","72","1","Jamaica Plain","92","moderate","Apartment","1"
"308","13751426","70","1","Jamaica Plain","96","flexible","Apartment","1"
"309","1692573","135","1","Jamaica Plain","96","moderate","House","2"
"310","12932001","300","1","Jamaica Plain","100","strict","House","3"
"311","5182313","110","1","Jamaica Plain","96","moderate","Apartment","1"
"312","13865867","70","1","Jamaica Plain","96","moderate","House","1"
"313","4331214","75","1","Jamaica Plain","95","moderate","House","1"
"314","12824498","70","1","Jamaica Plain","90","flexible","Apartment","1"
"316","6377998","480","1","Jamaica Plain","97","flexible","House","4"
"317","743211","550","1","Jamaica Plain","97","strict","House","4"
"318","5166870","180","1","Jamaica Plain","94","moderate","Apartment","2"
"319","3593290","325","0.86","Jamaica Plain","100","moderate","House","4"
"321","1612842","290","1","Jamaica Plain","98","strict","Apartment","3"
"322","332225","159","1","Jamaica Plain","94","moderate","House","4"
"323","496022","200","0","Jamaica Plain","99","strict","House","1"
"324","8720718","95","1","Jamaica Plain","98","moderate","House","1"
"325","9212213","65","1","Jamaica Plain","85","moderate","Condominium","1"
"326","8310894","99","1","Jamaica Plain","98","moderate","Apartment","1"
"327","1167221","93","1","Jamaica Plain","95","moderate","House","1"
"328","2592416","500","0.6","Jamaica Plain","100","moderate","House","4"
"329","1701741","295","1","Jamaica Plain","88","moderate","Apartment","2"
"330","4526315","450","1","Jamaica Plain","98","strict","House","5"
"331","5918944","150","1","Jamaica Plain","100","strict","House","2"
"333","4181530","150","1","Jamaica Plain","99","moderate","Condominium","2"
